mean_mag mag_bin_centre luminosity_function no_galaxies V5 V6 V7 V8 V9
-19.275 -19.275 0.01007 1426 0.0086434 0.01036 0 0 0
-19.225 -19.225 0.010258 1365 0.0086375 0.010619 0 0 0
-19.175 -19.175 0.010644 1330 0.0088384 0.011076 0 0 0
-19.125 -19.125 0.011155 1309 0.01003 0.011446 0 0 0
-19.076 -19.075 0.010766 1186 0.0086631 0.011354 0 0 0
-19.026 -19.025 0.011038 1142 0.010019 0.011348 0 0 0
-18.975 -18.975 0.010873 1056 0.0094374 0.011348 0 0 0
-18.926 -18.925 0.010441 952 0.0091859 0.010895 0 0 0
-18.875 -18.875 0.010365 887 0.010047 0.010489 0 0 0
-18.825 -18.825 0.010886 875 0.0087667 0.011815 0 0 0
-18.775 -18.775 0.01117 842 0.0097098 0.011864 0 0 0
-18.725 -18.725 0.01104 781 0.010735 0.011202 0 0 0
-18.676 -18.675 0.010818 718 0.0099911 0.011297 0 0 0
-18.624 -18.625 0.010502 654 0.010769 0.010333 0 0 0
-18.575 -18.575 0.0099273 580 0.0093277 0.010359 0 0 0
-18.525 -18.525 0.010348 567 0.010229 0.010443 0 0 0
-18.477 -18.475 0.011269 579 0.010719 0.01176 0 0 0
-18.425 -18.425 0.010729 517 0.010101 0.011367 0 0 0
-18.376 -18.375 0.011969 541 0.012275 0.011613 0 0 0
-18.325 -18.325 0.01158 491 0.012313 0.0106 0 0 0
-18.275 -18.275 0.010418 414 0.010423 0.01041 0 0 0
-18.225 -18.225 0.010795 402 0.011119 0.010167 0 0 0
-18.175 -18.175 0.01005 351 0.010091 0.0099511 0 0 0
-18.125 -18.125 0.011366 372 0.011156 0.011958 0 0 0
-18.076 -18.075 0.010735 329 0.01136 0.0082439 0 0 0
-18.025 -18.025 0.011098 319 0.011276 0.010047 0 0 0
-17.976 -17.975 0.01182 319 0.012095 0.0093368 0 0 0
-17.926 -17.925 0.014154 359 0.014389 0.0091627 0 0 0
-17.876 -17.875 0.012629 299 0.012629 0 0 0 0
-17.826 -17.825 0.012395 275 0.012395 0 0 0 0
-17.774 -17.775 0.014047 292 0.014047 0 0 0 0
-17.724 -17.725 0.014326 279 0.014326 0 0 0 0
-17.676 -17.675 0.017703 323 0.017703 0 0 0 0
-17.626 -17.625 0.016499 282 0.016499 0 0 0 0
-17.576 -17.575 0.013429 215 0.013429 0 0 0 0
-17.524 -17.525 0.018071 271 0.018071 0 0 0 0
-17.474 -17.475 0.019793 278 0.019793 0 0 0 0
-17.426 -17.425 0.01969 259 0.01969 0 0 0 0
-17.375 -17.375 0.019565 241 0.019565 0 0 0 0
-17.325 -17.325 0.020895 241 0.020895 0 0 0 0
-17.276 -17.275 0.02167 234 0.02167 0 0 0 0
-17.225 -17.225 0.021069 213 0.021069 0 0 0 0
-17.175 -17.175 0.02145 203 0.02145 0 0 0 0
-17.128 -17.125 0.020318 180 0.020318 0 0 0 0
-17.075 -17.075 0.017366 144 0.017366 0 0 0 0
-17.025 -17.025 0.020615 160 0.020615 0 0 0 0
-16.973 -16.975 0.019276 140 0.019276 0 0 0 0
-16.924 -16.925 0.023979 163 0.023979 0 0 0 0
-16.876 -16.875 0.026097 166 0.026097 0 0 0 0
-16.823 -16.825 0.021673 129 0.021673 0 0 0 0
-16.777 -16.775 0.024957 139 0.024957 0 0 0 0
-16.725 -16.725 0.023415 122 0.023415 0 0 0 0
-16.678 -16.675 0.028722 140 0.028722 0 0 0 0
-16.622 -16.625 0.030701 140 0.030701 0 0 0 0
-16.575 -16.575 0.029307 125 0.029307 0 0 0 0
-16.526 -16.525 0.015541 62 0.015541 0 0 0 0
-16.468 -16.475 0.019565 73 0.019565 0 0 0 0
-16.425 -16.425 0.029805 104 0.029805 0 0 0 0
-16.375 -16.375 0.030953 101 0.030953 0 0 0 0
-16.325 -16.325 0.028186 86 0.028186 0 0 0 0
-16.275 -16.275 0.029444 84 0.029444 0 0 0 0
-16.223 -16.225 0.02137 57 0.02137 0 0 0 0
-16.176 -16.175 0.025667 64 0.025667 0 0 0 0
-16.124 -16.125 0.025741 60 0.025741 0 0 0 0
-16.073 -16.075 0.031211 68 0.031211 0 0 0 0
-16.029 -16.025 0.026027 53 0.026027 0 0 0 0
-15.978 -15.975 0.020489 39 0.020489 0 0 0 0
-15.928 -15.925 0.014058 25 0.014058 0 0 0 0
-15.878 -15.875 0.017453 29 0.017453 0 0 0 0
-15.824 -15.825 0.019323 30 0.019323 0 0 0 0
-15.781 -15.775 0.014478 21 0.014478 0 0 0 0
-15.723 -15.725 0.01919 26 0.01919 0 0 0 0
-15.676 -15.675 0.015804 20 0.015804 0 0 0 0
-15.617 -15.625 0.020307 24 0.020307 0 0 0 0
-15.575 -15.575 0.017208 19 0.017208 0 0 0 0
-15.525 -15.525 0.013585 14 0.013585 0 0 0 0
-15.477 -15.475 0.020787 20 0.020787 0 0 0 0
-15.419 -15.425 0.015588 14 0.015588 0 0 0 0
-15.375 -15.375 0.016702 14 0.016702 0 0 0 0
-15.332 -15.325 0.0076699 6 0.0076699 0 0 0 0
-15.273 -15.275 0.0095899 7 0.0095899 0 0 0 0
-15.233 -15.225 0.020558 14 0.020558 0 0 0 0
-15.18 -15.175 0.02204 14 0.02204 0 0 0 0
-15.115 -15.125 0.0050633 3 0.0050633 0 0 0 0
-15.081 -15.075 0.018103 10 0.018103 0 0 0 0
-15.024 -15.025 0.017476 9 0.017476 0 0 0 0
-14.981 -14.975 0.014583 7 0.014583 0 0 0 0
-14.925 -14.925 0.013414 6 0.013414 0 0 0 0
-14.865 -14.875 0.016798 7 0.016798 0 0 0 0
-14.829 -14.825 0.020608 8 0.020608 0 0 0 0
-14.788 -14.775 0.013834 5 0.013834 0 0 0 0
